CELL LINES
MEL-HO
KARPAS-299
MDA-MB-468
KS-1
LS1034
KYSE-70
JVM-3
MDA-MB-415
LN-18
MeWo
MDA-MB-175-VII
JMSU-1
KNS-42
LU65
MCAS
MG-63
JHUEM-2
LUDLU-1
JURKAT
JHH-7
KELLY
MFE-280
MDA-MB-435S
JHH-5
KOPN-8
MDA-MB-436
LOU-NH91
LS123
KHM-1B
JHUEM-7
KP-3
KMS-21BM
MUTZ-5
NALM-19
MHH-CALL-4
NCI-H2106
NCI-H810
OVTOKO
NH-6
NCI-H1395
NCI-H1781
NCI-H1755
NU-DUL-1
ML-1
NU-DHL-1
OCI-LY-19
MOLM-6
NUGC-2
NCI-H854
NCI-H292
NCI-H2085
NCI-H1623
MOLP-2
MHH-CALL-2
MHH-NB-11
NCI-H1838
NCI-H3255
MOLM-16
Panc_02.03
NCI-H2023
NCI-H2087
NCI-H2172
MOLP-8
NCI-H1693
NCI-H727
Panc_05.04
NCI-H1648
MOLT-16
NCI-H2126
NALM-1
Panc_02.13
NCI-H596
NCI-H1385
NCI-H929
OV56
MKN1
OUMS-23
MOLT-13
NCO2
NAMALWA
NCI-H2347
P31_FUJ
Mino
NCI-H1573
NCI-H358
NCI-H1793
NCI-H1734
MPP_89
OVK18
NCI-H1915
Panc_04.03
NCI-H1563
NCI-H1703
NCI-H1155
NCI-H322
NCI-H2291
P3HR-1
PANC-1
NCI-H1869
NCI-H1944
MJ
P12-ICHIKAWA
OAW28
NCI-H2444
NCC-StC-K140
NCI-H647
NCI-H1355
NCI-H28
PA-TU-8988S
NCI-H2110
MHH-CALL-3
MHH-ES-1
NCI-H2030
NCI-H2405
NCI-H684
ONCO-DG-1
OS-RC-2
NCI-H2228
NCI-H520
OE19
NCI-H2073
MUTZ-3
OE21
MOLT-3
Hs_698.T
Hs_940.T
Hs_839.T
Hs_737.T
Hs_281.T
Hs_934.T
Hs_863.T
HCC-2279
Hs_616.T
Hs_600.T
HLF-a
HuT_102
Hs_618.T
HEC-6
HEC-265
HT-144
HEC-151
Hs_229.T
HPB-ALL
Hs_729
Hs_695T
J82
HEC-108
HMC-1-8
Hs_578T
HT
Hs_688_A_.T
Hs_821.T
Hs_706.T
HuTu_80
HCC-366
Hs_675.T
JeKo-1
Hs_343.T
HEL
HuNS1
JHH-1
HCC1937
HOP-92
HOP-62
HUP-T3
HuH-7
HuG1-N
HSC-4
Hs_939.T
Hs_611.T
HCC2157
HuH-6
Hs_294T
IGR-1
HMCB
HT-1080
HCC-95
HCC4006
HCC-78
HH
HOS
HCC38
HCC2935
HEC-59
JHH-2
IST-MES2
HuT_78
Ishikawa__Heraklio__02_ER-
HuCCT1
HEC-1-B
HEC-251
Hs_840.T
JHH-4
HT-1376
HEC-50B
Hs_895.T
Hs_834.T
Hs_852.T
huH-1
HCC-2108
Hep_3B2.1-7
Hs_822.T
Hs_819.T
Hs_255.T
HDQ-P1
HCC-56
Hs_870.T
HSC-2
Hs_742.T
HCC202
Hs_739.T
IMR-32
Hs_606.T
Hs_172.T
KASUMI-1
Toledo
SU-DHL-8
YAPC
TUHR14TKB
COV644
TO_175.T
SUP-T1
SNU-C5
TE-8
SW_1088
SNU-869
TE_159.T
KARPAS-620
WSU-DLCL2
SUP-B15
TM-31
TT
T1-73
SU-DHL-6
SNU-899
TUHR10TKB
VMRC-RCZ
U266B1
EPLC-272H
JM1
T3M-10
SW1463
YD-10B
TE_125.T
UM-UC-3
WM-88
SNU-C4
TE-6
SR-786
DM-3
BT-549
COR-L47
TE_617.T
TF-1
UACC-893
DND-41
SW837
ZR-75-1
TE-14
WM-266-4
U-BLC1
NCI-H441
TE-1
TUHR4TKB
TE_441.T
YD-8
SW-1710
VMRC-RCW
SW_780
SU-DHL-4
TALL-1
UM-UC-1
TE-10
EFO-21
T84
CAL-78
UO-31
YH-13
SUP-T11
UACC-62
SW_1573
TGBC11TKB
TT2609-C02
SW403
UACC-812
SW1116
WM-115
SU-DHL-1
ST486
SNU-886
VM-CUB1
SU-DHL-10
WM-793
SNU-81
SUIT-2
WM983B
U-118_MG
SW_1353
TCC-PAN2
YD-15
KG-1-C
SU-DHL-5
WM1799
YD-38
TE-4
SW48
SNU-878
Sq-1
SNU-175
SNU-407
Set-2
GSU
GSS
OVISE
Hep_G2
VCaP
IPC-298
A2780
A-375
HT-29
NCI-H446
SK-MEL-5
NCI-H2122
SW620
RL
MDA-MB-453
MV-4-11
SF-295
CCK-81
IM95
LOX_IMVI
KYSE-510
HUP-T4
PA-TU-8902
KYSE-30
KYSE-150
PSN1
SUP-M2
DAN-G
NCI-H460
PA-TU-8988T
MOLM-13
COLO_741
HD-MY-Z
YKG1
U-251_MG
COR-L23
MOR_CPR
TE-5
ABC-1
8-MG-BA
QGP-1
NCI-H1568
NCI-H1581
LS_180
RT4
BDCM
SW948
FaDu
SNU-16
DU4475
NMC-G1
TEN
T3M-4
JHUEM-1
IA-LM
EB1
GCIY
SH-10-TC
HCC2218
NUGC-4
KE-39
KE-97
HGC-27
PK-1
MCF7
U-937
MEG-01
SNU-1
NCI-H2342
Hs_936.T
RKO
IST-MES1
NCI-H226
SNU-C1
T.T
OC_314
T-47D
Caki-1
NCI-H1435
NCI-H2009
Hs_888.T
HCC1419
NB-1
NCI-H841
CAL-62
OCI-M1
MEC-1
LS513
NCI-H1339
JHH-6
HT115
HT55
HOP-62
EKVX
COLO-680N
